campaign fb,filename,persoanl fb,id
['https://www.facebook.com/KamauForCongress'],Kamau_Bakari.csv,https://www.facebook.com/kamau.bakari,kamau.bakari
['https://www.facebook.com/MetzendorfForCongress'],Adam_Metzendorf.csv,https://www.facebook.com/profile.php?id=6856342,6856342
['https://www.facebook.com/RoyceWestTX/'],Royce_West.csv,https://www.facebook.com/west.royce,west.royce
['https://www.facebook.com/andybaancongress'],Andy_Baan.csv,https://www.facebook.com/andy.baan.10,andy.baan.10
['https://www.facebook.com/VoteDerrickEdwards/'],Derrick_Edwards.csv,https://www.facebook.com/profile.php?id=100011047511226,100011047511226
['https://www.facebook.com/Chick4Congress2022'],Cameron_Chick.csv,https://www.facebook.com/CameronAltonChickSr36,CameronAltonChickSr36
[],Phil_Gray.csv,https://www.facebook.com/phil.gray.1460,phil.gray.1460
['https://www.facebook.com/BJSMITH4US20/'],Bennie_Smith.csv,https://www.facebook.com/bennyj53,bennyj53
['https://www.facebook.com/TokudaForHawaii'],Jill_Tokuda.csv,https://www.facebook.com/jill.tokuda,jill.tokuda
[],Joshua_Weil.csv,https://www.facebook.com/joshua.j.weil,joshua.j.weil
['https://www.facebook.com/Kildee'],Daniel_Kildee.csv,https://www.facebook.com/dan.kildee,dan.kildee
[],Lindsay_Holliday.csv,https://www.facebook.com/lindsay.doc.holliday,lindsay.doc.holliday
['https://www.facebook.com/JoshBrecheenforCongress'],Josh_Brecheen.csv,https://www.facebook.com/josh.brecheen.7,josh.brecheen.7
['https://www.facebook.com/AlexandraHuntForCongress'],Alexandra_Hunt.csv,https://www.facebook.com/alexandra.hunt.716970,alexandra.hunt.716970
[],Mark_Lindquist.csv,https://www.facebook.com/MarkJLindquistSpeaks/,MarkJLindquistSpeaks/
['https://www.facebook.com/billingsforoklahoma'],Dylan_Billings.csv,https://www.facebook.com/dylan.billings,dylan.billings
[],Adina_Safta.csv,https://www.facebook.com/adina4congress,adina4congress
['https://www.facebook.com/JeanineLawsonVA'],Jeanine_Lawson.csv,https://www.facebook.com/jeanine.lawson.5,jeanine.lawson.5
['https://www.facebook.com/CindyAxneForCongress'],Cindy_Axne.csv,https://www.facebook.com/cindy.axne,cindy.axne
['https://www.facebook.com/CrenshawforCongress'],Daniel_Crenshaw.csv,https://www.facebook.com/daniel.crenshaw.50,daniel.crenshaw.50
['https://www.facebook.com/Howard-Rabin-for-US-Congress-District-3-103558371396445'],Howard_Rabin.csv,https://www.facebook.com/howard.rabin,howard.rabin
['https://www.facebook.com/Kenneth-Jenks-for-U-S-Congress-103271797847867/'],Kenneth_Jenks.csv,https://www.facebook.com/profile.php?id=100007328205845,100007328205845
['https://www.facebook.com/GwenCombsforAR/'],Gwendolynn_Combs.csv,https://www.facebook.com/CombsforAR,CombsforAR
